X,Y,Z
-2.138142513769677322e+01,2.391248613529846168e+01,-3.932639186680113852e+01
-2.204561641289421914e+01,2.409301646031694588e+01,-3.860095492832866171e+01
-2.292970667180800248e+01,2.444483534165581773e+01,-3.890853888244073744e+01
-2.301553847967964828e+01,2.407523281801615056e+01,-3.798332167806292858e+01
-2.393824192453836019e+01,2.398431114143268061e+01,-3.835795696947727862e+01
-2.383921434224382807e+01,2.384383927363082023e+01,-3.737283708220407874e+01
-2.406894266321174669e+01,2.397300792631128274e+01,-3.640819188436707776e+01
-2.379610065146596298e+01,2.379034792801668274e+01,-3.735275133810704062e+01
-2.359204921648504083e+01,2.392257692060895735e+01,-3.832274025835317843e+01
-2.348539795212576564e+01,2.396226229126756380e+01,-3.931624445017436642e+01
-2.339831581157031337e+01,2.388431312088486180e+01,-4.030939128102715330e+01
-2.317749514995701787e+01,2.387782849226551107e+01,-4.128468415242340228e+01
-2.283940586169375564e+01,2.383715074488247154e+01,-4.222491867318377956e+01
-2.324876816650366962e+01,2.387433291627980481e+01,-4.131330472554426336e+01
-2.277019636013181270e+01,2.376974334553811374e+01,-4.218510174769910748e+01
-2.229257370390164894e+01,2.373740944857970092e+01,-4.306307163178576758e+01
-2.201938747421396059e+01,2.366061956810201039e+01,-4.402196296982426560e+01
-2.249240055382527359e+01,2.372084942364288906e+01,-4.314296866323396529e+01
-2.183835389585974340e+01,2.311101301728130508e+01,-4.359054270926447572e+01
-2.222345934169199921e+01,2.348085318449715331e+01,-4.443606742581869895e+01
-2.198514118406062678e+01,2.333563584420669557e+01,-4.539633633597988904e+01
-2.143706873425991688e+01,2.337466890752502024e+01,-4.623185594061968828e+01
-2.084950049091273527e+01,2.322196924180678224e+01,-4.702649193999264554e+01
-2.135216729326525709e+01,2.341243914636495660e+01,-4.618325573271125251e+01
-2.071164784268279746e+01,2.379358076061845040e+01,-4.684993849333267235e+01
-2.021331816601952625e+01,2.358177420916925371e+01,-4.769065575741132079e+01
-2.060791744095240929e+01,2.422362113702335051e+01,-4.834816920474658275e+01
-2.109563659371394095e+01,2.448075145558905419e+01,-4.751389465323258321e+01
-2.179864467119266180e+01,2.464267579563245647e+01,-4.682139183655875314e+01
-2.188732845731161092e+01,2.490905694786630065e+01,-4.778117111733855182e+01
-2.138373897132487755e+01,2.503705162472837742e+01,-4.863558026540439272e+01
-2.181185804334664624e+01,2.459835121741170383e+01,-4.784548152930148746e+01
-2.228086755897697202e+01,2.412368459974631918e+01,-4.710068513006051205e+01
-2.134818467082201110e+01,2.439266924529765745e+01,-4.686037306086600296e+01
-2.161012897592611992e+01,2.380783688631134964e+01,-4.609267761805938335e+01
-2.179195163342353680e+01,2.376202122510696668e+01,-4.511041418780811085e+01
-2.194697751796843832e+01,2.324157088746808597e+01,-4.595011557590548534e+01
-2.247598210942645736e+01,2.311840866126599181e+01,-4.511048160312133604e+01
-2.179675200734306983e+01,2.337045817626535182e+01,-4.579976928646726009e+01
-2.270971052086886388e+01,2.374090334262935542e+01,-4.597087490092312834e+01
-2.362350749623974977e+01,2.350800476914439940e+01,-4.563810870331329994e+01
-2.266343677730206707e+01,2.355764585910359088e+01,-4.536279074744017947e+01
-2.286675445039866972e+01,2.382793371927641246e+01,-4.630385737443838678e+01
-2.241534468307825634e+01,2.422186176619092635e+01,-4.710451330292568883e+01
-2.323573447038026885e+01,2.375819419676822974e+01,-4.676988966067036557e+01
-2.251018933365171293e+01,2.357226078232372757e+01,-4.610730908446657139e+01
-2.345109686044600394e+01,2.342727645508218615e+01,-4.580124933396648146e+01
-2.434416134214391292e+01,2.307315527213732409e+01,-4.607879936426621725e+01
